score	file_path	record_id	name	n_ingredients	reasons
80	bacterial/NBRC_1063.yaml	CultureMech:007453	1063	2	only 2 ingredient(s); ingredient name contains an unparsed recipe; no ingredient is grounded; no media_term (untraceable to a source catalogue); no notes/provenance; no pH and no temperature
80	bacterial/NBRC_1135.yaml	CultureMech:007458	1135	2	only 2 ingredient(s); ingredient name contains an unparsed recipe; no ingredient is grounded; no media_term (untraceable to a source catalogue); no notes/provenance; no pH and no temperature
80	bacterial/NBRC_1158.yaml	CultureMech:007459	1158	2	only 2 ingredient(s); ingredient name contains an unparsed recipe; no ingredient is grounded; no media_term (untraceable to a source catalogue); no notes/provenance; no pH and no temperature
80	bacterial/NBRC_116.yaml	CultureMech:007460	116	2	only 2 ingredient(s); ingredient name contains an unparsed recipe; no ingredient is grounded; no media_term (untraceable to a source catalogue); no notes/provenance; no pH and no temperature
80	bacterial/NBRC_1197.yaml	CultureMech:007463	1197	2	only 2 ingredient(s); ingredient name contains an unparsed recipe; no ingredient is grounded; no media_term (untraceable to a source catalogue); no notes/provenance; no pH and no temperature
80	bacterial/NBRC_1210.yaml	CultureMech:007464	1210	2	only 2 ingredient(s); ingredient name contains an unparsed recipe; no ingredient is grounded; no media_term (untraceable to a source catalogue); no notes/provenance; no pH and no temperature
80	bacterial/NBRC_1287.yaml	CultureMech:007469	1287	2	only 2 ingredient(s); ingredient name contains an unparsed recipe; no ingredient is grounded; no media_term (untraceable to a source catalogue); no notes/provenance; no pH and no temperature
80	bacterial/NBRC_1379.yaml	CultureMech:007475	1379	2	only 2 ingredient(s); ingredient name contains an unparsed recipe; no ingredient is grounded; no media_term (untraceable to a source catalogue); no notes/provenance; no pH and no temperature
80	bacterial/NBRC_14.yaml	CultureMech:007476	14	2	only 2 ingredient(s); ingredient name contains an unparsed recipe; no ingredient is grounded; no media_term (untraceable to a source catalogue); no notes/provenance; no pH and no temperature
80	bacterial/NBRC_1401.yaml	CultureMech:007477	1401	2	only 2 ingredient(s); ingredient name contains an unparsed recipe; no ingredient is grounded; no media_term (untraceable to a source catalogue); no notes/provenance; no pH and no temperature
