finding	location	file_path	record_id	name	value	unit	detail
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/3n_bbm_v.yaml	CultureMech:000039	Make up to 1 litre with deionised water. For agar, add	15	G_PER_L	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/CCAP_ASW 150 + barley  + barley grain_).yaml	CultureMech:000045	Make up to 1 litre with deionised water. Adjust pH to 7-8 with	1	MOLAR	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/CCAP_ASW 300 + barley  + barley grain_).yaml	CultureMech:000049	Make up to 1 litre with deionised water. Adjust pH to 7.6-8 with	1	MOLAR	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/CCAP_TAP Medium.yaml	CultureMech:000139	Make up to 1 litre with deionised water. For agar, add	15	G_PER_L	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/ajs.yaml	CultureMech:000041	Make up to 1 litre with deionized water. For agar, add	15.0	G_PER_L	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/asw_150_barley.yaml	CultureMech:000044	Make up to 1 litre with deionised water. Adjust pH to 7-8 with	1	MOLAR	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/asw_300_barley.yaml	CultureMech:000048	Make up to 1 litre with deionised water. Adjust pH to 7.6-8 with	1	MOLAR	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/asw_barley.yaml	CultureMech:000043	HCl. Add	1	G_PER_L	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/bg.yaml	CultureMech:000055	Make up to 1 litre with deionised water. Adjust pH to 7.1 with	1	MOLAR	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/cgm.yaml	CultureMech:000058	Make up to 1 litre with deionised water. For agar, add	15	G_PER_L	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/dm.yaml	CultureMech:000063	Make up to 1 litre with deionised water. Adjust to pH 6.9 with	1	MOLAR	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
