finding	ingredient	our_ids	our_label_asserted	mim_id	mim_label	rows	detail
INTERNAL_SPLIT	(NH4)3 citrate	CHEBI:63037=40|CHEBI:72699=4	CHEBI:63037=triammonium citrate|CHEBI:72699=(2R)-trihomocitrate(3-)	CHEBI:63037	triammonium citrate	44	2 CHEBI ids for one name; MIM matches one of them
INTERNAL_SPLIT	(NH4)H2PO4	CHEBI:62982=3|CHEBI:39745=1	CHEBI:62982=ammonium dihydrogen phosphate|CHEBI:39745=dihydrogenphosphate			4	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	(NH4)HCO3	CHEBI:184335=2|CHEBI:17544=1	CHEBI:184335=Ammonium bicarbonate|CHEBI:17544=hydrogencarbonate			3	2 CHEBI ids for one name; MIM has no opinion
DIVERGENT	1,2-Dichloropropane	CHEBI:142468=2	CHEBI:142468=1,2-dichloropropane	CHEBI:82163	rac-1,2-dichloropropane	2	we and MIM both ground this name, to different ids
MISSING_GROUNDING	4-Hydroxy-L-proline			CHEBI:18240	4-hydroxy-L-proline	2	MIM grounds this name and we do not
MISSING_GROUNDING	4-Hydroxybenzaldehyde			CHEBI:17597	4-hydroxybenzaldehyde	2	MIM grounds this name and we do not
INTERNAL_SPLIT	5-Aminovaleric acid	CHEBI:15887=3|CHEBI:86394=2	CHEBI:15887=5-aminopentanoic acid|CHEBI:86394=5-aminopentanoate	CHEBI:15887	5-aminopentanoic acid	5	2 CHEBI ids for one name; MIM matches one of them
MISSING_GROUNDING	5-fluorouracil			CHEBI:46345	5-fluorouracil	1	MIM grounds this name and we do not
MISSING_GROUNDING	Acetoin			CHEBI:15688	acetoin	1	MIM grounds this name and we do not
MISSING_GROUNDING	acetone			CHEBI:15347	acetone	1	MIM grounds this name and we do not
MISSING_GROUNDING	Adenine			CHEBI:16708	adenine	3	MIM grounds this name and we do not
INTERNAL_SPLIT	Arginine	CHEBI:29016=31|CHEBI:32696=6|CHEBI:16467=6	CHEBI:29016=arginine|CHEBI:32696=argininium(1+)|CHEBI:16467=L-arginine	CHEBI:29016	arginine	43	3 CHEBI ids for one name; MIM matches one of them
MISSING_GROUNDING	Ascorbate			CHEBI:22651	ascorbate	7	MIM grounds this name and we do not
MISSING_GROUNDING	Aspartate			CHEBI:29995	aspartate(2-)	12	MIM grounds this name and we do not
MISSING_GROUNDING	Bacitracin			CHEBI:28669	bacitracin	1	MIM grounds this name and we do not
MISSING_GROUNDING	benzene			CHEBI:16716	benzene	1	MIM grounds this name and we do not
MISSING_GROUNDING	Benzoate			CHEBI:16150	benzoate	2	MIM grounds this name and we do not
